timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2017-12-15,1933.36634403,1933.36634403,1642.27271804,1784.30105665,1933.36634403,1933.36634403,1642.27271804,1784.30105665,92820.93724855,165620496.41160265
2017-12-14,1579.46568516,2049.84299221,1569.64442623,1918.70175305,1579.46568516,2049.84299221,1569.64442623,1918.70175305,201103.69978797,385858021.32737619
2017-12-13,1589.18247718,1679.54430091,1460.59599039,1586.02464779,1589.18247718,1679.54430091,1460.59599039,1586.02464779,106202.08053266,168439117.37129340
2017-12-12,1404.11141078,1610.35570385,1404.11141078,1583.95236855,1404.11141078,1610.35570385,1404.11141078,1583.95236855,93899.96103354,148733065.68566829
2017-12-11,1296.72084889,1420.61369065,1295.72082708,1399.34171781,1296.72084889,1420.61369065,1295.72082708,1399.34171781,56805.73668799,79490637.15860595
2017-12-10,1369.53178393,1369.53178393,1200.82521835,1285.43607507,1369.53178393,1369.53178393,1200.82521835,1285.43607507,59231.68008490,76138538.36825818
2017-12-09,1388.61224890,1470.61642684,1313.47020941,1373.28113096,1388.61224890,1470.61642684,1313.47020941,1373.28113096,67749.21002642,93038711.76659819
2017-12-08,1233.85235411,1543.34115274,1151.69201830,1385.43637664,1233.85235411,1543.34115274,1151.69201830,1385.43637664,175737.26798118,243472803.79269233
2017-12-07,1353.73899861,1353.73899861,1227.87828751,1240.28019169,1353.73899861,1353.73899861,1227.87828751,1240.28019169,106287.72141155,131826555.48661380
2017-12-06,1425.42953582,1457.34502402,1316.68090509,1356.65288345,1425.42953582,1457.34502402,1316.68090509,1356.65288345,74768.37882394,101434736.72252962
2017-12-05,1539.49026593,1578.37641028,1413.89241809,1423.79317130,1539.49026593,1578.37641028,1413.89241809,1423.79317130,67045.76045049,95459295.89407285
2017-12-04,1506.58315459,1543.34358994,1446.67825440,1540.89643718,1506.58315459,1543.34358994,1446.67825440,1540.89643718,59711.60111793,92009393.42103806
2017-12-03,1392.98568176,1621.69665217,1385.42318218,1509.48516527,1392.98568176,1621.69665217,1385.42318218,1509.48516527,114237.81688124,172440289.89534119
2017-12-02,1430.92082227,1456.76602375,1373.15221832,1395.38635535,1430.92082227,1456.76602375,1373.15221832,1395.38635535,36105.65015225,50381331.57339276
2017-12-01,1322.92621769,1450.62243164,1255.76823209,1428.45517482,1322.92621769,1450.62243164,1255.76823209,1428.45517482,94216.58793462,134584172.58880141
2017-11-30,1345.66529261,1415.20943327,1183.23064612,1339.22790221,1345.66529261,1415.20943327,1183.23064612,1339.22790221,121286.02821138,162429633.12897441
2017-11-29,1481.98204274,1631.16447648,1249.90946499,1318.15000498,1481.98204274,1631.16447648,1249.90946499,1318.15000498,244463.97455312,322240189.27478015
2017-11-28,1588.98384319,1589.17083017,1481.63409768,1483.13936906,1588.98384319,1589.17083017,1481.63409768,1483.13936906,98137.42175294,145551473.78020808
2017-11-27,1716.29030944,1716.29030944,1564.68683987,1589.30234139,1716.29030944,1716.29030944,1564.68683987,1589.30234139,105939.34662755,168369651.64041218
2017-11-26,1548.61470719,1751.61114918,1536.10375300,1718.85545009,1548.61470719,1751.61114918,1536.10375300,1718.85545009,103872.36337643,178541577.90328494
2017-11-25,1621.97118562,1631.29292368,1518.90095881,1549.46446715,1621.97118562,1631.29292368,1518.90095881,1549.46446715,104841.08887804,162447541.91408044
2017-11-24,1656.46171654,1755.28532399,1530.32849695,1628.67913048,1656.46171654,1755.28532399,1530.32849695,1628.67913048,206493.61115365,336311835.06400120
2017-11-23,1299.37669880,1650.32864805,1295.69537825,1650.32864805,1299.37669880,1650.32864805,1295.69537825,1650.32864805,280881.20976775,463546307.17936170
2017-11-22,1173.00469927,1337.52247044,1168.81623146,1302.34617802,1173.00469927,1337.52247044,1168.81623146,1302.34617802,129067.44376585,168090492.09515110
2017-11-21,1245.04132821,1245.04132821,1148.23009636,1172.45121518,1245.04132821,1245.04132821,1148.23009636,1172.45121518,61671.15642040,72306422.28672679
2017-11-20,1175.48862024,1246.60855513,1169.77113742,1246.60855513,1175.48862024,1246.60855513,1169.77113742,1246.60855513,51313.93787186,63968393.94852021
2017-11-19,1247.19563812,1257.62552649,1131.98973037,1174.14756724,1247.19563812,1257.62552649,1131.98973037,1174.14756724,91398.64454448,107315496.14106868
2017-11-18,1177.22671156,1367.67098639,1177.22671156,1235.20347494,1177.22671156,1367.67098639,1177.22671156,1235.20347494,233082.47285142,287904280.41482127
2017-11-17,906.55689762,1205.01092705,865.46139299,1173.25461952,906.55689762,1205.01092705,865.46139299,1173.25461952,321238.61911635,376894693.84710383
2017-11-16,1187.33150334,1193.94314890,876.24796366,899.46120289,1187.33150334,1193.94314890,876.24796366,899.46120289,291234.31360498,261953966.03751585
2017-11-15,1258.05277657,1321.48642693,1173.36501321,1188.77607484,1258.05277657,1321.48642693,1173.36501321,1188.77607484,119008.23889752,141474147.11047366
2017-11-14,1349.42323179,1372.05721091,1193.72588235,1259.57337681,1349.42323179,1372.05721091,1193.72588235,1259.57337681,158315.12915658,199409521.83163929
2017-11-13,1373.23723066,1492.46774356,1047.49431912,1353.50993888,1373.23723066,1492.46774356,1047.49431912,1353.50993888,475270.51331591,643283363.42879355
2017-11-12,1330.36376060,2670.29738554,1188.29469996,1370.97507810,1330.36376060,2670.29738554,1188.29469996,1370.97507810,957697.42358169,1312979300.09204268
2017-11-11,993.28745016,1412.49633346,901.68137360,1313.82711947,993.28745016,1412.49633346,901.68137360,1313.82711947,585501.07139942,769247186.08526564
2017-11-10,650.69738501,1015.12910455,650.69738501,966.83705815,650.69738501,1015.12910455,650.69738501,966.83705815,619799.44248667,599245069.61417997
2017-11-09,621.69446805,673.93917106,614.72793947,655.17139919,621.69446805,673.93917106,614.72793947,655.17139919,120371.58033955,78864016.71327186
2017-11-08,605.47101329,643.61565343,553.93957304,621.48499667,605.47101329,643.61565343,553.93957304,621.48499667,180025.30313901,111883024.92207351
2017-11-07,589.83162808,616.28319337,589.42348690,606.47577852,589.83162808,616.28319337,589.42348690,606.47577852,63972.15090946,38797560.02662822
