timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-02-23,1.00011907,1.00329050,1.00004873,1.00005286,1.00011907,1.00329050,1.00004873,1.00005286,61717157.61535341,61720420.04663658
2018-02-22,1.00030966,1.00038581,0.99998691,1.00011906,1.00030966,1.00038581,0.99998691,1.00011906,62679179.89256503,62686642.77306014
2018-02-21,1.00019371,1.00421927,1.00011951,1.00027134,1.00019371,1.00421927,1.00011951,1.00027134,57469671.73377080,57485265.47500701
2018-02-20,1.00025085,1.00057066,1.00005285,1.00018490,1.00025085,1.00057066,1.00005285,1.00018490,47327947.06411435,47336697.89620636
2018-02-19,1.00054819,1.00567346,1.00020995,1.00025161,1.00054819,1.00567346,1.00020995,1.00025161,24708970.63064498,24715187.57278505
2018-02-18,1.00024118,1.01104242,1.00022105,1.00057198,1.00024118,1.01104242,1.00022105,1.00057198,38238473.43613590,38260345.00518648
2018-02-17,1.00017763,1.00035398,1.00009286,1.00023166,1.00017763,1.00035398,1.00009286,1.00023166,37800764.73557112,37809521.49712879
2018-02-16,1.00017515,1.00029773,1.00012374,1.00019150,1.00017515,1.00029773,1.00012374,1.00019150,27794719.12515517,27800041.73270394
2018-02-15,1.00023573,1.00076182,1.00012107,1.00017460,1.00023573,1.00076182,1.00012107,1.00017460,57684998.77133387,57695070.45683649
2018-02-14,1.00003356,1.00335106,1.00002087,1.00022922,1.00003356,1.00335106,1.00002087,1.00022922,20072503.90037963,20077104.98029392
2018-02-13,1.00003053,1.00019749,1.00000323,1.00003356,1.00003053,1.00019749,1.00000323,1.00003356,43818984.54626938,43820455.05503644
2018-02-12,1.00009261,1.00027309,0.99999730,1.00003010,1.00009261,1.00027309,0.99999730,1.00003010,60924243.71063977,60926077.28322828
2018-02-11,1.00013226,1.00281260,0.99999506,1.00009412,1.00013226,1.00281260,0.99999506,1.00009412,42788879.26577042,42792906.63330170
2018-02-10,1.00024007,1.00783575,1.00013090,1.00014463,1.00024007,1.00783575,1.00013090,1.00014463,68964949.03549834,68974923.58866730
2018-02-09,1.00001817,1.00037373,1.00001817,1.00020626,1.00001817,1.00037373,1.00001817,1.00020626,36154830.68125175,36162288.00097654
2018-02-08,1.00003712,1.00022493,0.99995047,1.00001808,1.00003712,1.00022493,0.99995047,1.00001808,61543563.48447116,61544676.09913450
2018-02-07,1.00015212,1.00127533,0.99968548,1.00001651,1.00015212,1.00127533,0.99968548,1.00001651,66081921.48571493,66083012.63850345
2018-02-06,0.99909717,1.00055832,0.99110902,1.00016217,0.99909717,1.00055832,0.99110902,1.00016217,103043868.82033727,103060579.75311559
2018-02-05,0.99979930,1.00022233,0.99709177,0.99920911,0.99979930,1.00022233,0.99709177,0.99920911,105864584.93209124,105780858.09497710
2018-02-04,0.99979305,1.00106601,0.99906460,0.99979096,0.99979305,1.00106601,0.99906460,0.99979096,56884591.08567685,56872699.71603370
2018-02-03,0.99915450,0.99999010,0.99502616,0.99981036,0.99915450,0.99999010,0.99502616,0.99981036,65889996.33281393,65877500.72678121
